"category","headline","authors","link","short_description","date"
"PARENTING","19 Kids And Counting Premiere: Michelle And Jim Bob Duggar Appear On 'Today'","Jessica Samakow","https://www.huffingtonpost.com/entry/19-kids-and-counting_us_5b9b53a6e4b03a1dcc76a983","A clip from the family's reality show ""19 Kids and Counting"", which premieres tonight, documents Michelle and Jim Bob at","2012-02-14"
"PARENTING","Tommy Jordan, Dad Who Shot Daughter's Laptop, Says He'd Do It Again (VIDEO)","Ileana Llorens","https://www.huffingtonpost.com/entry/dad-shot-daughters-laptop-would-do-it-again_us_5b9b53c3e4b03a1dcc76a9ec","It all started when Jordan's 15-year-old daughter, Hannah, wrote a note complaining about her responsibilities and posted","2012-02-14"
"WELLNESS","Bird Flu Experts To Discuss Future Of Mutant Virus Research","Reuters, Reuters","https://www.huffingtonpost.com/entry/bird-flu-researchers-meeting-who-mutant-viruses_us_5b9b53a2e4b03a1dcc76a90f","In the short term, most scientists agree the moratorium is ""a good gesture,"" as flu expert and former WHO health security","2012-02-14"
"FOOD & DRINK","Undiscovered Ingredient: Meyer Lemons","Kitchen Daily, Kitchen Daily","https://www.huffingtonpost.com/entry/meyer-lemons_us_5b9b53a2e4b03a1dcc76a91b","Many recipes benefit from Meyer lemons, the best being desserts. They're great in pies, tarts and cakes. Savory recipes, from","2012-02-14"
"PARENTING","Valentine's Day With Kids: 5 Things To Do When You're Trapped At Home On V-Day","","https://www.huffingtonpost.com/entry/valentines-day-ideas-married-couples-kids_us_5b9b53a0e4b03a1dcc76a86c","Ah, Valentine's Day. While the rest of the world is out to dinner, parents -- especially those who don't want to spend inordinate","2012-02-14"
"STYLE & BEAUTY","Magic of Permacouture: DIY Dyes From Your Kitchen/Garden Create Living Color Richer Than Synthetics (VIDEO)","Kirsten Dirksen, Contributor\nCo-founder, faircompanies.com","https://www.huffingtonpost.com/entry/magic-of-permacouture-diy_us_5b9b53a5e4b03a1dcc76a943","Artist, educator and fashion designer Sasha Duerr uses just about anything to dye clothing: from kitchen waste to invasive ""weeds"" to the leaves, fruit or petals of nearly any tree or plant.","2012-02-14"
"WELLNESS","Love and Sex","Jennifer Hamady, Contributor\nVoice Coach, Therapist, and Author specializing in Self-Expres...","https://www.huffingtonpost.com/entry/love-and-sex_us_5b9b53a6e4b03a1dcc76a9a6","This Valentine's Day, look into the eyes and heart of your partner. Look into their hopes and dreams, and see within them the desires and determination that you also hold dear. See too the very same hurts and fears that you have been dealing with.","2012-02-14"
"STYLE & BEAUTY","Amanda Seyfried Covers 'W Korea' February 2012, Stares Us Down (PHOTO, POLL)","Jessica Misener","https://www.huffingtonpost.com/entry/amanda-seyfried-w-korea_us_5b9b53a6e4b03a1dcc76a9af","This high fashion-y cover is starkly different from Amanda's other spring cover, on March's Glamour, where she poses in jeans","2012-02-14"
"STYLE & BEAUTY","New York Fashion Week 2012: Marc Jacobs Fall 2012 (PHOTOS)","Sarah St. Lifer","https://www.huffingtonpost.com/entry/marc-jacobs-fall-2012_us_5b9b53b6e4b03a1dcc76a9ca","Who Was There: Dakota Fanning, Rose Byrne, Maria Sharapova, Jared Leto and Michael Pitt The Skinny: Set against a dilapidated","2012-02-14"
"STYLE & BEAUTY","Weekly Roundup of eBay Vintage Clothing Finds (PHOTOS)","Mary Kincaid, Contributor\nFounder and Editor of Zuburbia.com","https://www.huffingtonpost.com/entry/ebay-vintage-clothes_us_5b9b4e9be4b03a1dcc768511","No time to page through thousands of eBay listings? Then just sneak a peek at my weekly eBay roundup of top vintage clothing finds.","2012-02-14"
"TRAVEL","787 Dreamliner Draws Boeing Logo Across Country With Flight Path (PHOTO)","","https://www.huffingtonpost.com/entry/787-dreamliner-draws-boeing-logo-flight-path_us_5b9b5309e4b03a1dcc76a2f4","Via Gizmodo Flight Blogger Jon Ostrower noted he was tipped off to the plane's intended path while sitting at Houston International","2012-02-14"
"HOME & LIVING","5 New Uses For Coffee","Chris Barnes, Contributor\nNon-Profit Public Relations Specialist","https://www.huffingtonpost.com/entry/5-new-uses-for-coffee_us_5b9b52f3e4b03a1dcc76a1f6","Photo courtesy Cheryl Somers What are your favorite uses for coffee grounds? Share them in the comments! Garden Helper. When","2012-02-14"
"TRAVEL","Asia's Love Affair With Valentine's Day (PHOTOS)","","https://www.huffingtonpost.com/entry/valentines-day-2012-asia_us_5b9b52ffe4b03a1dcc76a22d","Westerners traveling through Asia on Tuesday will likely see Valentine's Day being celebrated with an almost alarming ferocity","2012-02-14"
"PARENTING","Marriage Rocks -- or Does It?","Sherri Edwards, Contributor\nWriter & A Seasoned Mom","https://www.huffingtonpost.com/entry/marriage-is-great-or-is-i_us_5b9b52ffe4b03a1dcc76a239","I also understand marriages can fail. Yet for those of us continuing the soon antiquated practice of marriage, every union has strengths and flaws.","2012-02-14"
"DIVORCE","Katy Perry Grammy Performance Aimed At Russell Brand?","","https://www.huffingtonpost.com/entry/katy-perry-grammy-perform_us_5b9b5300e4b03a1dcc76a247","Brand filed for divorce in December 2012, 14 months after the star couple tied the knot. Their split, which was finalized","2012-02-14"
"STYLE & BEAUTY","The Real Deal on Hair Extensions","Courtney Cachet, Contributor\nMedia Personality, Celebrity Designer, Style Expert","https://www.huffingtonpost.com/entry/the-real-deal-on-hair-ext_us_5b9b5437e4b03a1dcc76ac8f","Hair extensions have come a long way. Forget everything you think you know about them. They have become an exciting new fashion trend.","2012-02-14"
"PARENTING","What Is Love? Kids Answer For Valentine's Day (VIDEO)","Jessica Samakow","https://www.huffingtonpost.com/entry/what-is-love_us_5b9b5438e4b03a1dcc76acd6","As Foreigner sang in 1984, and Mariah Carey then repeated ""I Want To Know What Love Is."" Yes, it's a many-splendored thing","2012-02-14"
"STYLE & BEAUTY","Fendi Baguette: Object Of My Affection (PHOTOS)","Brooke Bobb","https://www.huffingtonpost.com/entry/fendi-baguette_us_5b9b541de4b03a1dcc76abe4","In the February issue of Vogue, Plum Sykes talks about the reissuing of the Fendi Baguette, a purse that was slung over the","2012-02-14"
"WELLNESS","Romantic Regrets More Intense Than Work-Related Ones, Study Shows","Amanda L. Chan","https://www.huffingtonpost.com/entry/romantic-regrets-intense-work-career_us_5b9b541de4b03a1dcc76ac07","or A) Leave the office anyway, stopping on the way home to pick up some chocolates, much to the chagrin of your boss. ""Social","2012-02-14"
"WEDDINGS","Ice T And Coco's Marriage, Sex Life: Couple Dishes On 'Conan' (VIDEO)","","https://www.huffingtonpost.com/entry/ice-t-and-coco-marriage_us_5b9b541de4b03a1dcc76ac0f","Ice T and Coco stopped by ""Conan"" Monday night to dish on how they keep their sex life spicy after 11 years of marriage. The","2012-02-14"
"STYLE & BEAUTY","Marc Jacobs Under Fire For Hiring Underage Models","Jessica Misener","https://www.huffingtonpost.com/entry/underage-models-fashion_us_5b9b541de4b03a1dcc76ac30","""We continually message the importance of models 16 and over. In the instances where we might see a girl under 16, we'll","2012-02-14"
"FOOD & DRINK","So What The Hell Are Capers, Anyway?","Joseph Erdos","https://www.huffingtonpost.com/entry/what-are-capers_us_5b9b541ce4b03a1dcc76abb9","You've seen them hundreds of times, but do you know what they really are?","2012-02-14"
"STYLE & BEAUTY","New York Fashion Week 2012: Vera Wang Fall 2012 (PHOTOS)","Sarah St. Lifer","https://www.huffingtonpost.com/entry/vera-wang-fall-2012_us_5b9b5431e4b03a1dcc76ac61","Who Was There: Viola Davis, Renée Zellweger, Leighton Meester and Maria Sharapova The Skinny: Strong camel-colored coats","2012-02-14"
"STYLE & BEAUTY","Michelle Obama: Jason Wu For Target Dress In Florida! (PHOTOS)","Ellie Krupnick","https://www.huffingtonpost.com/entry/michelle-obama-jason-wu-for-target_us_5b9b5443e4b03a1dcc76ad16","We shouldn't be too surprised Michelle picked up a piece of Target's latest designer collection, given the first lady's affection","2012-02-14"
"DIVORCE","A Happy Couple Creating Music To Break Up To","","https://www.huffingtonpost.comhttp://cityroom.blogs.nytimes.com/2012/02/14/music-to-break-up-to/?partner=rss&emc=rss","Victoria Paterson hatched the idea for her latest album while on a date, taking a long, romantic stroll in Central Park. The","2012-02-14"
"WEDDINGS","Engagement Chicken: Valentine's Day Recipe (VIDEO)","","https://www.huffingtonpost.com/entry/engagement-chicken-could_us_5b9b543ce4b03a1dcc76acfb","Hoping to get engaged this Valentine's Day? If so, head to the kitchen. Woo Your Valentine With ""Engagement Chicken"" Watch","2012-02-14"
"TRAVEL","Discount Airlines: When In Doubt, Wear Your Clothes","Kevin Richberg, Contributor\nTravel Writer, Videographer, Documentary Filmmaker","https://www.huffingtonpost.com/entry/discount-airlines-when-in_us_5b9b4d95e4b03a1dcc767919","With discount airlines you get what you pay for not what you pray for.","2012-02-14"
"WELLNESS","What Your Heart Has to Say","Ed and Deb Shapiro, Contributor\nMindfulness, Meditation teachers; bestselling Authors: The Une...","https://www.huffingtonpost.com/entry/listen-to-your-heart_us_5b9b5139e4b03a1dcc76935e","The heart is our emotional home where all our struggles, doubts and hurts are felt, as well as our longings, yearnings, joys and delights.","2012-02-14"
"STYLE & BEAUTY","New York Fashion Week Fall 2012: Rachel Antonoff-Inspired DIY Nail Art","Dana Oliver","https://www.huffingtonpost.com/entry/rachel-antonoff-fall-2012-nail-art_us_5b9b5139e4b03a1dcc769382","Click through the slideshow below for more DIY nail art. BEAUTY RELATED LINKS YOU MAY LOVE: Possibly The Sexiest Ponytail","2012-02-14"
"STYLE & BEAUTY","Jared Allred, Blogger Behind 'Crimes Of Fashion,' Reveals His Hidden Talent (PHOTOS)","Sarah St. Lifer","https://www.huffingtonpost.com/entry/crimes-of-fashion-blog-jared-allred_us_5b9b5137e4b03a1dcc76934e","Describe your perfect outfit. Givenchy head-to-toe, end of story. What is your beauty routine? Pretty simple. Wash my face","2012-02-14"
"WELLNESS","Mediterranean Diet Improves Brain Health, According To New Study","","https://www.huffingtonpost.com/entry/mediterranean-diet-improves-brain-health_us_5b9b53c7e4b03a1dcc76aaa6","Time to stock up on fresh veggies, fish, whole grains, legumes and olive oil: not only is the so-called 'Mediterranean diet","2012-02-14"
"STYLE & BEAUTY","SimplyBe Photoshop Fail Gives Model Decomposing Alien Fingers (PHOTOS)","Ellie Krupnick","https://www.huffingtonpost.com/entry/simplybe-photoshop-fail_us_5b9b53cae4b03a1dcc76aadf","Alien fingers, demon hands, talons, nail-biting victim -- whatever metaphor you like, the hands on this SimplyBe model are","2012-02-14"
"WELLNESS","Brain Scans Could Reveal If Your Relationship Will Last","","https://www.huffingtonpost.comhttp://www.livescience.com/18468-relationship-longevity-brain-scans.html?utm_content=LiveScience&utm_campaign=seo%2Bblitz&utm_source=twitter.com&utm_medium=social%2Bmedia","When you're in the early stages of falling in love, you might hide it from friends and family. But you can't hide it from","2012-02-14"
"WELLNESS","The Life Out Loud: Be Your Own Valentine","MeiMei Fox, Contributor\nNYTimes bestselling author, blogger at AdventuresWithTwins.com...","https://www.huffingtonpost.com/entry/valentines-day_us_5b9b53cae4b03a1dcc76aafe","Happy Valentine's Day! Do those words make you shudder? Whether or not you belong to the 50 percent of the American population that is unmarried, it very well may. Like me, you may get turned off by the gluttonous commercialism of the occasion.","2012-02-14"
"WELLNESS","HuffPost Meditation Center: What Is Meditation?","","https://www.huffingtonpost.com/entry/meditation-center_us_5b9b5413e4b03a1dcc76ab63","With today's introductory meditations from Donna D'Cruz, “conscious” entertainer, designer, performing artist and meditation","2012-02-14"
"WELLNESS","HuffPost Meditation Center: A Valentine's Day Meditation","","https://www.huffingtonpost.com/entry/meditation-center_us_5b9b5413e4b03a1dcc76ab68","Meditations exist in all manner of forms and disciplines, ranging from simple relaxation to deeply spiritual practices. Our","2012-02-14"
"TRAVEL","Rita Lamberg, US Airways Passenger, Robbed Of $160,000 Worth Of Checked Jewelry","","https://www.huffingtonpost.com/entry/rita-lamberg-us-airways-p_us_5b9b5413e4b03a1dcc76ab72","According to an airline spokesperson, the matter is being investigated. Lamberg is offering a $10,000 reward to those who","2012-02-14"
"PARENTING","Ella's Story: 'I'm Not Here To Save Her. I'm Here To Take Care Of Her.'","","https://www.huffingtonpost.comhttp://elmhurst.patch.com/articles/xx-df8eac6c","Ella Casten is a smart, inquisitive little girl with a smile that will melt your heart. In most ways, she is a typical 1","2012-02-14"
"TRAVEL","In The Caribbean: Give Me That Old-Time Merengue","Bob Schulman, Contributor\nTravel Editor, WatchBoom.com","https://www.huffingtonpost.com/entry/in-the-caribbean-give-me_us_5b9b4e87e4b03a1dcc7682cb","You hear a certain kind of hip-swinging music everywhere in the Dominican Republic: In the airport terminals, in the lobby of your hotel, around the pool, on the powdery beaches, in the discos, even at weddings.","2012-02-14"
"FOOD & DRINK","Chocolate Paninis","Jennifer Segal, Contributor\nChef, Cookbook Author, Busy Mom","https://www.huffingtonpost.com/entry/chocolate-paninis-recipe_us_5b9b51f7e4b03a1dcc769842","I don't even remember the last time I made my husband a romantic dinner for two complete with pink champagne, oysters and other aphrodisiacs. (Do people really do this? On weeknights? Am I alone here?)","2012-02-14"
"DIVORCE","My Post-Divorce Valentine","Ginger Emas, Contributor\nAuthor of 'Back on Top: Fearless Dating After Divorce'","https://www.huffingtonpost.com/entry/my-postdivorce-valentine_us_5b9b51d3e4b03a1dcc76977f","When I was married, I remember standing in greeting card aisles during many a February, reading all the Valentine's Day cards labeled ""To My Husband,"" and suddenly tears would be streaming down my face. I so wished that I felt what the cards expressed.","2012-02-14"
"WELLNESS","Make Love, Not Worry: How to Free Your Marriage From Anxiety","Tamar Chansky, Contributor\nPsychologist/author Freeing Yourself from Anxiety and Freeing ...","https://www.huffingtonpost.com/entry/relationship-advice_us_5b9b52b0e4b03a1dcc769f76","Valentine's Day is all about roses, chocolates and thou, and that's all good, but this year do something different for your spouse. Cut worry out of your relationship -- that unmistakable yet invisible interloper that trespasses on the sacred space you call home. Let's see how.","2012-02-14"
"WELLNESS","What's Your Top Sleep Gripe?","","https://www.huffingtonpost.com/entry/readers-sleep-gripes_us_5b9b52b0e4b03a1dcc769f7a","When it comes to getting quality shuteye, everyone has their thing, whether it's a pitch-dark room, a favorite pillow or","2012-02-14"
"PARENTING","Dad Shoots Daughter's Laptop, Misses an Opportunity","Stephen Balkam, Contributor\nFounder & CEO, Family Online Safety Institute","https://www.huffingtonpost.com/entry/dad-shot-daughters-laptop_us_5b9b52b0e4b03a1dcc769f91","Mr. Jordan acted on his impulse and turned a teaching moment -- one that should have been behind closed doors and face-to-face with his daughter -- into a premeditated exhibition of force, petulance and destruction of property.","2012-02-14"
"WELLNESS","5 Healthy Reasons To Love Love","Amanda L. Chan","https://www.huffingtonpost.com/entry/love-health-relationships_us_5b9b52b7e4b03a1dcc769ff5","But don't just take his word for it. Here is some of the latest research on the key factors for a lasting relationship, and","2012-02-14"
"WELLNESS","Love Is All Around","Nicole Luongo, Contributor\nLessons from the Broke Girl","https://www.huffingtonpost.com/entry/valentines-day_us_5b9b52b8e4b03a1dcc76a000","In the long run it may be worth it, but at what cost to our emotions and our heart? We've all imagined finding the one person","2012-02-14"
"WELLNESS","Beauty and Luck","Sri Sri Ravi Shankar, Contributor\nSpiritual Leader, Global Humanitarian, Peace Ambassador and Fo...","https://www.huffingtonpost.com/entry/beauty-and-luck_us_5b9b52b8e4b03a1dcc76a00c","When you rejoice in beauty, the entire creation rejoices with you.  The very purpose of such variety in this creation is to bring you back to your Self, to come to know that you are beautiful.  And in that bliss, all that you need, all that you would want will simply keep happening.","2012-02-14"
"TRAVEL","Liftopia's Top 5 Après Ski Spots","Liftopia, Contributor\nLargest online and mobile marketplace for lift tickets and oth...","https://www.huffingtonpost.com/entry/liftopis-top-5-apres-ski_us_5b9b52c2e4b03a1dcc76a05d","What goes best with skiing? Drinking, of course!","2012-02-14"
"WELLNESS","The Map to Nowhere","Kelly Carlin, Contributor\nAuthor, Performer, host of The Kelly Carlin Show on SiriusXM R...","https://www.huffingtonpost.com/entry/life-map_us_5b9b52c3e4b03a1dcc76a06d","Most of my life I have felt embattled between my strategic mind, with its plans, ideas and ""maps,"" and the messiness of life, with its surprises, confusions and organic unfolding.","2012-02-14"
"WEDDINGS","Our Favorite Whitney Houston First-Dance Songs","BRIDES, Contributor\nBRIDES","https://www.huffingtonpost.com/entry/our-favorite-whitney-hous_us_5b9b52c3e4b03a1dcc76a080","In honor of her passing last weekend, we rounded up our favorite Whitney Houston songs ideal for your own powerful, raw, emotional first-dance moments.","2012-02-14"
"STYLE & BEAUTY","The 'Miracle Dress' Will Be Huge This Fall (PHOTOS)","Christina Anderson","https://www.huffingtonpost.com/entry/the-miracle-dress-fall-2012_us_5b9b52c2e4b03a1dcc76a03d","In case you were losing sleep over it, we've identified the biggest (and most wearable) trend to emerge from New York Fashion","2012-02-14"
"WELLNESS","Day 14 of 29: Secrets to the Map of a Women's Heart","Suzanne O'Malley, Contributor\nAuthor, Screenwriter, Yale University Lecturer","https://www.huffingtonpost.com/entry/heart-month_us_5b9b52c2e4b03a1dcc76a053","Laughter is good for the heart -- and soul.  The ""Map of a Woman's Heart"" (D.W. Kellogg & Co. circa 1833-1842), brings me such glee that I hope you will indulge me as I take you on a tour of it for Valentine's Day.","2012-02-14"
"STYLE & BEAUTY","Valentine's Day 2012 Challenge: My Man Made Me Over! (PHOTOS)","Christina Anderson","https://www.huffingtonpost.com/entry/valentines-day-2012-makeover_us_5b9b52ade4b03a1dcc769f19","FASHION RELATED LINKS YOU MAY LOVE: Why Everyone Is Obsessed With Rachel Zoe's Collection - The Cut Would You Wear Alexander","2012-02-14"
"HOME & LIVING","Weekly Roundup of eBay Vintage Home Finds (PHOTOS)","Mary Kincaid, Contributor\nFounder and Editor of Zuburbia.com","https://www.huffingtonpost.com/entry/weekly-roundup-of-ebay-vi_us_5b9b52b7e4b03a1dcc769fe5","As always, buyer beware! Be sure to read the listings closely and contact the sellers with any questions. This eclectic mix","2012-02-14"
"TRAVEL","OTP's Guide to Hagglin' Like A Boss","Off Track Planet, Contributor\nThe Independent Travel Lifestyles Guide for the Young, Sexy an...","https://www.huffingtonpost.com/entry/otps-guide-to-hagglin-lik_us_5b9b4a68e4b03a1dcc7661b7","Weird things are for sale out there and making them yours for a good price takes some courage and finesse. Luckily, haggling is a part of every culture and only those afraid to bargain get gypped.","2012-02-14"
"WELLNESS","Dark Chocolate's Heart Health Benefits Are Bittersweet","Michael Stanclift, ND, Contributor\nNaturopathic Doctor","https://www.huffingtonpost.com/entry/dark-chocolate-health_us_5b9b4bb9e4b03a1dcc766f5a","It's Valentine's Day, and chocolate is bound to be around us. We love the stuff, and recent studies suggest it may be one of the foods that loves us back.","2012-02-14"
"TRAVEL","Good Churros In Barcelona: Surprisingly Hard To Find","Edward Schneider, Contributor\nTravel, cooking and food writer","https://www.huffingtonpost.com/entry/good-churros-in-barcelona_us_5b9b4e33e4b03a1dcc768032","Next time you're in Barcelona, be sure to take a look at that amazing church and use that as a high-minded excuse to stop for a plate of churros and a cup of hot chocolate.","2012-02-14"
"WELLNESS","2012: Your Best Year Yet -- Sticking With Your Plan","Jinny S.Ditzler, Contributor\nAuthor, 'Your Best Year Yet!' and founder of Best Year Yet","https://www.huffingtonpost.com/entry/new-years-resolutions_us_5b9b4fe7e4b03a1dcc768d3c","One of the biggest challenges of being human is sticking with the plans we've made.  When I look back at my failures, both big and small, it boils down to not having done what I knew to do.  Doesn't it seem as if we're guided by two voices, always at war over our time and attention?","2012-02-14"
"DIVORCE","Valentine's Day Single: Tweeters Weigh In On Their #WorstValentinesDay Ever","","https://www.huffingtonpost.com/entry/valentines-day-single_us_5b9b5314e4b03a1dcc76a373","We at HuffPost Divorce don't generally deal much in the business of Valentine's Day. But this year, we turned the lovey-dovey","2012-02-14"
"DIVORCE","Whitney Houston's Breakup Ballads: 7 Of The Best (VIDEO)","","https://www.huffingtonpost.com/entry/whitney-houston-the-singe_us_5b9b5312e4b03a1dcc76a33c","Whitney Houston's post-divorce troubles are well-documented; from her 2007 custody battle with ex Bobby Brown over daughter","2012-02-14"
"WEDDINGS","In Defense Of Valentine's Day","Tracy McMillan, Contributor\nAuthor, TV writer","https://www.huffingtonpost.com/entry/in-defense-of-valentines_us_5b9b5312e4b03a1dcc76a34a","VALENTINE'S DAY IS BULLSHIT.  Right?  A made-up holiday for the sentimental and the deluded, the real purpose of which is to separate a fool from her pants or his money.","2012-02-14"
"WELLNESS","Are Your Sleep Types Compatible? (INFOGRAPHIC)","Laura Schocker","https://www.huffingtonpost.com/entry/sleep-compatibility_us_5b9b5312e4b03a1dcc76a351","Graphic by: Chris Spurlock While most love stories end with the 'happily ever after' of blissful cohabitation, the reality","2012-02-14"
"WELLNESS","The Ancient Origins of Valentine's Day","Barbara Biziou, Contributor\nAuthor, 'The Joy of Ritual' and 'The Joys of Family Rituals'","https://www.huffingtonpost.com/entry/history-of-valentines-day_us_5b9b5312e4b03a1dcc76a35f","When we think of Valentine's Day we tend to think of chocolate, love, and presents, yet most of us don't know that Valentine's Day has its roots in an ancient Roman fertility festival called Lupercalia.","2012-02-14"
"STYLE & BEAUTY","'The Bachelor' Season 16, Ep. 7 Style Recap: Bikinis Galore (PHOTOS)","Ellie Krupnick, Contributor\nSenior Editor of Viral Content and Strategy, The Huffington Post","https://www.huffingtonpost.com/entry/the-bachelor-season-16-episode-7_us_5b9b531ae4b03a1dcc76a3f3","When Ben swings by to pick Lindzi up, he's wearing another tanktop! Emily compares him to a yummy slice of cheesecake being","2012-02-14"
"STYLE & BEAUTY","Julie Henderson, Sports Illustrated Swimsuit Issue Model, Talks Dating, Fitness And Heidi Klum","Sarah Leon","https://www.huffingtonpost.com/entry/julie-henderson-sports-illustrated_us_5b9b531ae4b03a1dcc76a40e","James Macari/Sports Illustrated. Who was the first person that you calledl when you saw your photos in the issue? Probably","2012-02-14"
"HOME & LIVING","Craft Of The Day: Valentines Day Place Cards","Diana N. Nguyen","https://www.huffingtonpost.com/entry/craft-of-the-day-diy-place-cards_us_5b9b530fe4b03a1dcc76a318","For a full tutorial, visit Fellow Fellow. And, be sure to check out the other great crafts in our Craft Of The Day slideshow","2012-02-14"
"WELLNESS","WHiP It! Valentine's Day Wholehearted Living","Amy Elias, MS, Contributor\nAwareness, Mindfulness and Culture Consultant, Functional Life...","https://www.huffingtonpost.com/entry/valentines-day_us_5b9b5311e4b03a1dcc76a32f","Whole-hearted living is where we allow ourselves to taste the whole broad spectrum of emotions -- living life. When we live life fully we open up to the capacity for real joy because we live in uncertainty and vulnerability.","2012-02-14"
"WELLNESS","Juicing and Me","Patricia Rust, Contributor\nLong time Huff Post Contributor for Entertainment, Travel, Lif...","https://www.huffingtonpost.com/entry/juicing_us_5b9b4e23e4b03a1dcc767ede","I've juiced everything that grows and everything seems to go with everything else.  Fruits go with vegetables and vegetables go with other vegetables.  Herbs fit right in as do fresh ginger, garlic, and onions.","2012-02-14"
"TRAVEL","Wildlife, Wild Lands: Weekly Expedition Shots (PHOTOS)","Lindblad Expeditions, Contributor\nPioneers in expedition travel","https://www.huffingtonpost.com/entry/wildlife-wild-lands_us_5b9b4e23e4b03a1dcc767e62","This week our photos come from Galápagos, the Amazon, Antarctica, New Zealand, Costa Rica and Baja California.","2012-02-14"
"WELLNESS","Valentine's Day Skin Tips -- Loving Skin Is In!","Deborah Burnes, Contributor\nCEO and Founder of sumbody and author of 'Look Great Live Green'","https://www.huffingtonpost.com/entry/skin-care-tips_us_5b9b4fffe4b03a1dcc768eca","Even if green and chemical-free is not your thing, think twice this Valentine's Day before you slather scented lotion or spray on cologne.","2012-02-14"
"PARENTING","Moms Strut at NYC Fashion Week","Megan Rosker, Contributor\nMother and writer","https://www.huffingtonpost.com/entry/strut-moms-fashion-week_us_5b9b523be4b03a1dcc769b60","This spring, however, glamour, fashion and finely coiffed hair are all staged to hit the runways with the Strut Moms fashion show.","2012-02-14"
"WELLNESS","6 Ways to Keep Love Strong This Valentine's Day and Beyond","Lisa Firestone, Contributor\nPsychology expert on relationships, parenting, self-destructiv...","https://www.huffingtonpost.com/entry/valentines-day_us_5b9b525ee4b03a1dcc769bf6","Being loving isn't just a matter of playing the role of boyfriend, girlfriend, husband, or wife. It is a matter of having integrity in ourselves and being attuned to our partners. Being LOVING means maintaining Laughter, Openness, Vitality, Individuality, Non-defensiveness, and Generosity in our relationships.","2012-02-14"
"STYLE & BEAUTY","Why NYC Fashion Week Is Just Like Your High School Cafeteria","Sarah Hall and Clark Seydel, Contributors","https://www.huffingtonpost.com/entry/nyc-fashion-week-is-like-high-school_us_5b9b525ee4b03a1dcc769bfd","After countless shows, parties and events that we didn't understand, but went to anyway, we started to realize that we were stuck in an adolescent time warp.","2012-02-14"
"STYLE & BEAUTY","The Lifestyle Mirror: Daphne Guinness Opens Her Home To Emanuele Della Valle's New Site","Sarah Leon","https://www.huffingtonpost.com/entry/emanuele-della-valle-the-lifestyle-mirror_us_5b9b523ae4b03a1dcc769b34","Of the new site, Della Valle says, ""It was to fill a void. I wanted something that is beautiful to look at but also has a","2012-02-14"
"STYLE & BEAUTY","New York Fashion Week 2012: Donna Karan Fall 2012 (PHOTOS)","Sarah St. Lifer","https://www.huffingtonpost.com/entry/donna-karan-fall-2012_us_5b9b5366e4b03a1dcc76a56b","Who Was There: Ashley Greene, Emmy Rossum, Rose McGowan, Adriana Lima, Rachel Zoe. The Skinny: On her show notes, Donna Karan","2012-02-14"
"STYLE & BEAUTY","Cyd Charisse Poses For Valentine's Day Card, 1940s","Sarah Leon","https://www.huffingtonpost.com/entry/cyd-charisse-valentine_us_5b9b5367e4b03a1dcc76a582","Getty Images ""A Look Back"" is a daily column that highlights a moment from fashion's fabulous past. Today's pick is of American","2012-02-14"
"DIVORCE","Occupy Valentine's Day","Katie Amatruda, Contributor\nLMFT and Trauma Therapist","https://www.huffingtonpost.com/entry/occupy-valentines-day_us_5b9b5367e4b03a1dcc76a588","I feel assaulted whenever I encounter clichéd images of romance -- advertisements to buy flowers, candy, diamonds, sexy underwear, even cell phones -- all to show love. Buy, buy, buy! Love, love, love! I say Bah Humbug!","2012-02-14"
"STYLE & BEAUTY","New York Fashion Week Fall 2012 Gets Hot With Red And Pink At Thakoon, Jason Wu And More","Sarah Leon","https://www.huffingtonpost.com/entry/new-york-fashion-week-fall-2012_us_5b9b533ee4b03a1dcc76a47f","Art: Bobby Doherty/AOL, Photos: Getty Images Happy Valentine's Day! To celebrate February 14th, we have collected some of","2012-02-14"
"PARENTING","My Child's Dream: To Have Friends","Louise Kinross, Contributor\nEditor, BLOOM","https://www.huffingtonpost.com/entry/genetic-disability-friendship_us_5b9b4d45e4b03a1dcc767511","We expected that our son's genetic disorder would leave him without some ""normal"" life experiences. We never guessed it would leave him without friendship.","2012-02-13"
"STYLE & BEAUTY","Grammys 2012 Worst-Dressed: See Who Crossed Into Tacky Territory (PHOTOS)","Christina Anderson","https://www.huffingtonpost.com/entry/grammys-2012-worst-dressed_us_5b9b506be4b03a1dcc76909d","At an awards show known for outlandish looks, pity the poor fashion editor who has to choose worst-dressed. This is the ceremony","2012-02-13"
"WELLNESS","Looking for Love...","Dr. Terri Kennedy, Contributor\nPresident, Power Living Enterprises, Inc.","https://www.huffingtonpost.com/entry/relationship-advice_us_5b9b506be4b03a1dcc7690b5","As they say, ""To love is to live."" Give love freely, willingly and without expectation, and your life will be full of joy -- and love will find you.","2012-02-13"
"STYLE & BEAUTY","Yves Saint Laurent Poses With A Portrait Of Himself, 1990","Sarah Leon","https://www.huffingtonpost.com/entry/yves-saint-laurent-tribute_us_5b9b506ce4b03a1dcc7690d6","""A Look Back"" is a daily column that highlights a moment from fashion's fabulous past. Today's pick is of designer Yves Saint","2012-02-13"
